ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
97,Mauritius,A97,2013,25579.639620116486,12292974007.9361,1258927.0
97,Mauritius,A97,2014,26267.87041037562,13074130094.3723,1261208.0
97,Mauritius,A97,2015,27373.970878768014,12007291045.6489,1262879.0
97,Mauritius,A97,2016,28082.32900547351,12594155346.298,1263747.0
97,Mauritius,A97,2017,28879.756693823183,13713505998.0391,1264887.0
97,Mauritius,A97,2018,29773.590017350944,14735695930.9727,1265577.0
97,Mauritius,A97,2019,30392.481988042193,14436347115.2893,1265985.0
98,Mexico,A98,2000,509638.01494499267,707909864021.779,97873442.0
98,Mexico,A98,2001,534161.3663712237,756702925694.04,99394288.0
98,Mexico,A98,2002,567203.6529021033,772109710670.873,100917081.0
98,Mexico,A98,2003,597917.0784401858,729335024013.225,102429341.0
98,Mexico,A98,2004,633166.1964410763,782242912348.371,103945813.0
98,Mexico,A98,2005,661696.0092881615,877476892365.264,105442402.0
98,Mexico,A98,2006,698403.4804682839,975383402912.585,106886790.0
98,Mexico,A98,2007,736799.1751043054,1052697085016.35,108302973.0
98,Mexico,A98,2008,746753.8606487695,1109987401386.38,109684489.0
98,Mexico,A98,2009,773193.6990418726,900047015737.995,111049428.0
98,Mexico,A98,2010,818319.3742327271,1057800597973.65,112532401.0
98,Mexico,A98,2011,850090.8697104891,1180487226406.78,114150481.0
98,Mexico,A98,2012,877143.4743768093,1201093787127.42,115755909.0
98,Mexico,A98,2013,907831.6959739169,1274443916251.64,117290686.0
98,Mexico,A98,2014,932257.2834654256,1315356131262.48,118755887.0
98,Mexico,A98,2015,971513.2338639026,1171870072962.76,120149897.0
98,Mexico,A98,2016,996653.1486193174,1078493059306.95,121519221.0
98,Mexico,A98,2017,1024954.1779333396,1158912015259.01,122839258.0
98,Mexico,A98,2018,1056676.6820056043,1222405556421.13,124013861.0
98,Mexico,A98,2019,1078641.4069087426,1269009571610.76,125085311.0
99,Micronesia (country),A99,2000,532.8304342871601,233271800,111709.0
99,Micronesia (country),A99,2001,558.4697853705476,240970900.0,111948.0
99,Micronesia (country),A99,2002,593.0157481241102,242517200.0,111992.0
99,Micronesia (country),A99,2003,625.1268689353574,245432900.0,111805.0
99,Micronesia (country),A99,2004,661.9800908338083,240236000.0,111438.0
99,Micronesia (country),A99,2005,691.8082279108365,250281900.0,110940.0
99,Micronesia (country),A99,2006,730.1861691886259,253541900.0,110301.0
99,Micronesia (country),A99,2007,770.3291609744264,256787200.0,109532.0
99,Micronesia (country),A99,2008,780.7368606873715,263145100.0,108704.0
99,Micronesia (country),A99,2009,808.3799135216465,280284600.0,107868.0
99,Micronesia (country),A99,2010,855.5591513421209,296944100.0,107588.0
99,Micronesia (country),A99,2011,888.7764923507104,311301600.0,107887.0
99,Micronesia (country),A99,2012,917.0601970003921,327248700.0,108232.0
99,Micronesia (country),A99,2013,949.1449668989884,317214400.0,108609.0
99,Micronesia (country),A99,2014,974.6821050424693,319271200.0,109024.0
99,Micronesia (country),A99,2015,1015.724500793566,316489900.0,109462.0
99,Micronesia (country),A99,2016,1042.0084735433531,332265200.0,109925.0
99,Micronesia (country),A99,2017,1071.597415690441,366666800.0,110430.0
99,Micronesia (country),A99,2018,1104.7635358106706,401932300.0,110929.0
99,Micronesia (country),A99,2019,1127.7278233362008,412000000.0,111379.0
100,Monaco,A100,2000,466.756724464131,2654476597.15436,32465.0
100,Monaco,A100,2001,489.2166643605413,2673738412.57583,32444.0
100,Monaco,A100,2002,519.4787503464606,2919691961.37432,32386.0
100,Monaco,A100,2003,547.6079272933093,3597052153.18568,32316.0
100,Monaco,A100,2004,579.8911604428637,4117728150.84001,32236.0
100,Monaco,A100,2005,606.0204553611744,4204651893.54085,32141.0
100,Monaco,A100,2006,639.6393348579182,4586828062.23529,32011.0
100,Monaco,A100,2007,674.8043895365194,5875376401.92159,31823.0
100,Monaco,A100,2008,683.9214810437257,6502945305.07812,31862.0
100,Monaco,A100,2009,708.1366533853294,5473265701.67968,32401.0
100,Monaco,A100,2010,749.4654234606719,5367561640.00001,33178.0
100,Monaco,A100,2011,778.563643620186,6088690667.31519,33945.0
